gpu,backend,op,do_silu,M,N,K,shape,dtype,trials,warmup,iters,flops,latency_p50_ms,latency_p90_ms,latency_std_ms,jitter_p90_over_p50,gemm_equiv_tflops_p50,bytes_io,bandwidth_gbps_p50,ai_flops_per_byte,speedup_vs_cublas_p50
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,4096,4096,128x4096x4096,float16,10,30,2000,4294967296.0,0.04887270355224609,0.049953895568847655,0.003263010534331878,1.0221226152436143,87.88069789117718,39854080.0,815.467062455324,107.76731757451182,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,128,4096,4096,128x4096x4096,float16,10,30,2000,4294967296.0,0.06782540893554687,0.06818831100463868,0.0004264393926812142,1.0053505327101924,63.32386878907611,35659776.0,525.7583634163824,120.44291293360901,0.7205662939487597
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,4096,4096,128x4096x4096,bfloat16,10,30,2000,4294967296.0,0.05349171257019043,0.05438684120178222,0.0026020815282998874,1.0167339684706715,80.29220022380579,39854080.0,745.0514871383957,107.76731757451182,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,128,4096,4096,128x4096x4096,bfloat16,10,30,2000,4294967296.0,0.06788991928100586,0.06872304916381836,0.0005460490022354834,1.0122717760108693,63.263697195198155,35659776.0,525.2587774099303,120.44291293360901,0.7879183409952332
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,5120,5120,128x5120x5120,float16,10,30,2000,6710886400.0,0.06383411026000976,0.06551470336914063,0.004274504491319238,1.026327508949141,105.13010007760973,60303360.0,944.6886586868951,111.28544744438784,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,128,5120,5120,128x5120x5120,float16,10,30,2000,6710886400.0,0.06771558380126953,0.068737744140625,0.0010732619865148078,1.0150949055147378,99.10401746952353,55060480.0,813.1138640344666,121.88209038497304,0.942679759615585
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,5120,5120,128x5120x5120,bfloat16,10,30,2000,6710886400.0,0.06629119873046875,0.06755799102783203,0.0033482874438047743,1.0191095095823186,101.23344468826966,60303360.0,909.6736995990296,111.28544744438784,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,128,5120,5120,128x5120x5120,bfloat16,10,30,2000,6710886400.0,0.06799462509155274,0.06966107864379883,0.0008749999482583793,1.0245086071141987,98.69730719103151,55060480.0,809.776948190577,121.88209038497304,0.9749476321284164
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,256,4096,4096,256x4096x4096,float16,10,30,2000,8589934592.0,0.07423462295532227,0.07540618591308593,0.002621976109649619,1.0157818940963539,115.71331879963626,46145536.0,621.617436216689,186.14876619918337,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,256,4096,4096,256x4096x4096,float16,10,30,2000,8589934592.0,0.07069286727905273,0.07106104431152344,0.0009552633375386684,1.005208121365588,121.51062649775017,37756928.0,534.0981269151024,227.50618355391626,1.0501006086270177
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,256,4096,4096,256x4096x4096,bfloat16,10,30,2000,8589934592.0,0.07716403198242187,0.07895670013427733,0.005416451676028869,1.0232319139604296,111.32044776971743,46145536.0,598.0187247150595,186.14876619918337,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,256,4096,4096,256x4096x4096,bfloat16,10,30,2000,8589934592.0,0.07081164932250977,0.07083484420776368,3.68552034301446e-05,1.0003275574778419,121.30680014071372,37756928.0,533.2022112355705,227.50618355391626,1.0897081584836463
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,4096,11008,128x4096x11008,float16,10,30,1000,11542724608.0,0.09802905654907226,0.10002032775878905,0.006037250714059918,1.0203130712445445,117.74799242530545,98246656.0,1002.2197444164814,117.48720086717252,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+silu,1,128,4096,11008,128x4096x11008,float16,10,30,1000,11542724608.0,0.1344696273803711,0.13612083892822263,0.003177861291337256,1.012279438710578,85.83889784530572,94052352.0,699.431937399189,122.72659176029963,0.7290051921671483
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+silu,1,128,4096,11008,128x4096x11008,bfloat16,10,30,1000,11542724608.0,0.09114982604980469,0.09298687896728515,0.0015974054132109744,1.0201542119946196,126.63463122456209,98246656.0,1077.858952208176,117.48720086717252,
