gpu,backend,op,epilogue,M,N,K,shape,dtype,trials,warmup,iters,flops,latency_p50_ms,latency_p90_ms,latency_std_ms,jitter_p90_over_p50,gemm_equiv_tflops_p50,bytes_io,bandwidth_gbps_p50,ai_flops_per_byte,speedup_vs_cublas_p50
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,4096,128x4096x4096,float16,10,30,2000,4294967296.0,0.057808897018432615,0.05818705863952637,0.00041085234459456015,1.0065415816699146,74.2959564620396,39854080.0,689.4108356243564,107.76731757451182,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,4096,128x4096x4096,float16,10,30,2000,4294967296.0,0.06756326675415039,0.0682773468017578,0.0007975737490544063,1.010569057446642,63.5695623130325,35659776.0,527.798280236493,120.44291293360901,0.8556261382207578
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,4096,128x4096x4096,bfloat16,10,30,2000,4294967296.0,0.05869004821777343,0.05939753074645996,0.001297842837700393,1.012054556950803,73.18050378938574,39854080.0,679.0602701861603,107.76731757451182,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,4096,128x4096x4096,bfloat16,10,30,2000,4294967296.0,0.0670284767150879,0.06775193862915038,0.00042837902585442873,1.010793351565151,64.0767552313063,35659776.0,532.0093450963521,120.44291293360901,0.8755987170533818
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,5120,5120,128x5120x5120,float16,10,30,2000,6710886400.0,0.06630399703979492,0.06754298858642578,0.003269509061586226,1.0186865287455782,101.21390413269054,60303360.0,909.4981101034767,111.28544744438784,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,5120,5120,128x5120x5120,float16,10,30,2000,6710886400.0,0.06688230133056641,0.0674264045715332,0.00029334033978529046,1.008135235034416,100.33874831596148,55060480.0,823.2443995589065,121.88209038497304,0.9913534032282589
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,5120,5120,128x5120x5120,bfloat16,10,30,2000,6710886400.0,0.068980224609375,0.06992849578857421,0.002791105431003346,1.0137470004565676,97.2871056596695,60303360.0,874.2122882534694,111.28544744438784,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,5120,5120,128x5120x5120,bfloat16,10,30,2000,6710886400.0,0.06760908889770507,0.06859755401611328,0.0011110929103922025,1.0146202993491569,99.260121818145,55060480.0,814.3946457155848,121.88209038497304,1.0202803459420153
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,256,4096,4096,256x4096x4096,float16,10,30,2000,8589934592.0,0.07596928024291992,0.07761469650268554,0.004977008087040809,1.0216589686581765,113.07115934931544,46145536.0,607.42363034696,186.14876619918337,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,256,4096,4096,256x4096x4096,float16,10,30,2000,8589934592.0,0.07041535949707031,0.07091768264770508,0.001472232216192813,1.007133715629978,121.98950134391333,37756928.0,536.203014082047,227.50618355391626,1.07887371143906
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,256,4096,4096,256x4096x4096,bfloat16,10,30,2000,8589934592.0,0.07867161560058594,0.0805675552368164,0.0054430368387467344,1.0240994114809603,109.1872148096069,46145536.0,586.5588960862309,186.14876619918337,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,256,4096,4096,256x4096x4096,bfloat16,10,30,2000,8589934592.0,0.07045529556274413,0.07105259628295899,0.0015059013254018108,1.0084777264142328,121.92035422447717,37756928.0,535.8990789610054,227.50618355391626,1.1166174944298508
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,11008,128x4096x11008,float16,10,30,1000,11542724608.0,0.10069913482666015,0.1032762336730957,0.006693159027496742,1.0255920654221278,114.62585679479002,98246656.0,975.6454826460847,117.48720086717252,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,11008,128x4096x11008,float16,10,30,1000,11542724608.0,0.1326730194091797,0.13336934814453125,0.0005646154731015125,1.0052484577380725,87.00129581283467,94052352.0,708.9033807991595,122.72659176029963,0.7590023599002582
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,11008,128x4096x11008,bfloat16,10,30,1000,11542724608.0,0.09204224014282227,0.09320007934570312,0.002018792593292045,1.0125794331068456,125.40681963073817,98246656.0,1067.4083534641304,117.48720086717252,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,11008,128x4096x11008,bfloat16,10,30,1000,11542724608.0,0.1315578842163086,0.13176310424804688,0.00019537400466707307,1.0015599219534488,87.73875223640229,94052352.0,714.9123183325016,122.72659176029963,0.6996330223089148
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,11008,4096,128x11008x4096,float16,10,30,1000,11542724608.0,0.13316658782958984,0.13592616577148436,0.007906232478900762,1.0207227502549354,86.67883435423722,105338368.0,791.0270114812811,109.57759102552262,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,11008,4096,128x11008x4096,float16,10,30,1000,11542724608.0,0.0769244155883789,0.0772294692993164,0.0004771627874429348,1.0039656292297343,150.05280858765184,94066176.0,1222.8390073620621,122.7085558150041,1.73113551544105
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,11008,4096,128x11008x4096,bfloat16,10,30,1000,11542724608.0,0.09602406311035155,0.09725184173583984,0.0033484046567345328,1.012786155737623,120.20658399691978,105338368.0,1096.9996955757265,109.57759102552262,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,11008,4096,128x11008x4096,bfloat16,10,30,1000,11542724608.0,0.07488819122314452,0.07507056503295897,0.0004680607040207238,1.002435281275135,154.13277339822662,94066176.0,1256.088235856983,122.7085558150041,1.282232372580991
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,256,5120,5120,256x5120x5120,float16,10,30,1000,13421772800.0,0.09618637084960938,0.09813330154418945,0.00560242954557556,1.0202412324883758,139.53923701919675,68167680.0,708.7041479772894,196.89349556857442,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,256,5120,5120,256x5120x5120,float16,10,30,1000,13421772800.0,0.08917708969116211,0.0895058937072754,0.0007615147894258769,1.0036870906782447,150.50696144584055,57681920.0,646.824427661453,232.68595774897923,1.0785995728580264
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,256,5120,5120,256x5120x5120,bfloat16,10,30,1000,13421772800.0,0.09448908615112304,0.09649203033447265,0.006074024572883429,1.021197624666897,142.04574672818418,68167680.0,721.4344299083879,196.89349556857442,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,256,5120,5120,256x5120x5120,bfloat16,10,30,1000,13421772800.0,0.08719923400878907,0.08796149826049805,0.002218450283838973,1.0087416393088058,153.92076493065503,57681920.0,661.495719035629,232.68595774897923,1.0835999561830922
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,8192,8192,128x8192x8192,float16,10,30,1000,17179869184.0,0.12973414611816408,0.13114388427734375,0.002037974997771192,1.0108663617201878,132.42365019578023,146817024.0,1131.6760343593469,117.01551166164491,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,8192,8192,128x8192x8192,float16,10,30,1000,17179869184.0,0.1349068832397461,0.13655102081298828,0.0009113677554877508,1.0121872030081693,127.3461277247749,138428416.0,1026.1034327951652,124.10652148183217,0.9616569814870793
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,8192,8192,128x8192x8192,bfloat16,10,30,1000,17179869184.0,0.129283073425293,0.1301223373413086,0.0022923251254938727,1.0064916767043024,132.8856804593796,146817024.0,1135.624487492085,117.01551166164491,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,8192,8192,128x8192x8192,bfloat16,10,30,1000,17179869184.0,0.13295206451416014,0.13357527618408202,0.00041656730162433625,1.0046874914819808,129.21852132781473,138428416.0,1041.1904208170954,124.10652148183217,0.9724036546384252
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,512,4096,4096,512x4096x4096,float16,10,30,1000,17179869184.0,0.11835852813720703,0.11905792007446289,0.0005276308384007569,1.0059090962709936,145.1510884292533,58728448.0,496.191097712191,292.53061793834564,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,512,4096,4096,512x4096x4096,float16,10,30,1000,17179869184.0,0.13168128204345703,0.13237524871826173,0.00045380758548336055,1.005270047982793,130.46553707101936,41951232.0,318.58158843073375,409.52001562194886,0.8988257579247044
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,512,4096,4096,512x4096x4096,bfloat16,10,30,1000,17179869184.0,0.12547481536865235,0.12576778259277344,0.0005635270039533019,1.0023348687404745,136.91886402482075,58728448.0,468.0496865243625,292.53061793834564,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,512,4096,4096,512x4096x4096,bfloat16,10,30,1000,17179869184.0,0.12077824020385743,0.12105564041137695,0.00027678607525227994,1.0022967730532528,142.2430824873975,41951232.0,347.3409773912251,409.52001562194886,1.0388859380370814
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,16384,4096,128x16384x4096,float16,10,30,1000,17179869184.0,0.14887986755371094,0.15017665863037108,0.002799539025994209,1.0087103185808002,115.39417294149642,156270592.0,1049.6422019157342,109.93667435521074,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,16384,4096,128x16384x4096,float16,10,30,1000,17179869184.0,0.14738687896728514,0.14898442077636717,0.003768139988740726,1.010839104676588,116.56308420652115,139493376.0,946.4436520903789,123.159032182288,1.0101297252298638
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,16384,4096,128x16384x4096,bfloat16,10,30,1000,17179869184.0,0.14113126373291016,0.14371349029541017,0.007060456752875381,1.0182966303439815,121.72971976296317,156270592.0,1107.2712584487367,109.93667435521074,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,16384,4096,128x16384x4096,bfloat16,10,30,1000,17179869184.0,0.14319923400878906,0.14449387969970703,0.0006434668625280915,1.009040870224477,119.97179526075928,139493376.0,974.1209648610159,123.159032182288,0.9855587895410671
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,16384,128x4096x16384,float16,10,30,1000,17179869184.0,0.13596876525878906,0.13910927124023437,0.007761760790063184,1.0230972604293933,126.35158634633174,143663104.0,1056.5890167978382,119.58442150880994,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,16384,128x4096x16384,float16,10,30,1000,17179869184.0,0.1952952346801758,0.19593165283203123,0.0012142552190699775,1.0032587490058202,87.9687065182851,139468800.0,714.143385159399,123.1807342143906,0.6962216230286294
NVIDIA A100-SXM4-80GB,cuBLAS,linear+bias+gelu,gelu,128,4096,16384,128x4096x16384,bfloat16,10,30,1000,17179869184.0,0.12075161743164062,0.12123596496582031,0.0013179764415388714,1.0040111059750723,142.27444360093804,143663104.0,1189.7406184337856,119.58442150880994,
NVIDIA A100-SXM4-80GB,Triton,linear+bias+gelu,gelu,128,4096,16384,128x4096x16384,bfloat16,10,30,1000,17179869184.0,0.1939978256225586,0.1954942916870117,0.003650800284286515,1.0077138290578815,88.55701928033504,139468800.0,718.9193979490777,123.1807342143906,0.6224379940555338
