gpu,backend,M,N,K,shape,flops,dtype,trials,warmup,iters,p50_ms,p90_ms,std_ms,tflops_p50,speedup_vs_torch_p50
NVIDIA A100-SXM4-80GB,torch,128,16384,4096,128x16384x4096,17179869184.0,float16,10,30,1000,0.11503359985351563,0.11678023681640624,0.001050374362010673,149.34653184701628,
NVIDIA A100-SXM4-80GB,triton,128,16384,4096,128x16384x4096,17179869184.0,float16,10,30,1000,0.13960346221923828,0.14364784240722656,0.005047089678873646,123.06191344323624,0.8240024855032804
NVIDIA A100-SXM4-80GB,torch,128,16384,4096,128x16384x4096,17179869184.0,bfloat16,10,30,1000,0.11042406463623047,0.11177973480224608,0.0036072774925341123,155.5808440904215,
NVIDIA A100-SXM4-80GB,triton,128,16384,4096,128x16384x4096,17179869184.0,bfloat16,10,30,1000,0.13496832275390624,0.13544344940185546,0.00043552352070977667,127.28815794299246,0.8181480097190775
NVIDIA A100-SXM4-80GB,torch,128,4096,16384,128x4096x16384,17179869184.0,float16,10,30,1000,0.11975577545166016,0.12179978561401367,0.005349716104102581,143.4575419782966,
NVIDIA A100-SXM4-80GB,triton,128,4096,16384,128x4096x16384,17179869184.0,float16,10,30,1000,0.2070205383300781,0.20751810150146482,0.00046867852308725324,82.98630330391681,0.578472920695042
NVIDIA A100-SXM4-80GB,torch,128,4096,16384,128x4096x16384,17179869184.0,bfloat16,10,30,1000,0.10310553359985351,0.10318868179321289,0.0003672643733281646,166.62412369324483,
NVIDIA A100-SXM4-80GB,triton,128,4096,16384,128x4096x16384,17179869184.0,bfloat16,10,30,1000,0.20623461914062502,0.2067732452392578,0.0005236770535722381,83.3025476304033,0.49994290012749526
NVIDIA A100-SXM4-80GB,torch,128,13824,5120,128x13824x5120,18119393280.0,float16,10,30,1000,0.10698905563354492,0.10709319839477538,0.00029602244130275606,169.35744663512028,
NVIDIA A100-SXM4-80GB,triton,128,13824,5120,128x13824x5120,18119393280.0,float16,10,30,1000,0.10509158325195311,0.10628495025634765,0.0022988705191918576,172.41526599289534,1.0180554172168355
NVIDIA A100-SXM4-80GB,torch,128,13824,5120,128x13824x5120,18119393280.0,bfloat16,10,30,1000,0.10937036895751953,0.1100960792541504,0.00040422833953933314,165.6700389027465,
NVIDIA A100-SXM4-80GB,triton,128,13824,5120,128x13824x5120,18119393280.0,bfloat16,10,30,1000,0.10659942245483398,0.10878074569702148,0.0027360140900496797,169.9764676274598,1.0259940104634206
NVIDIA A100-SXM4-80GB,torch,128,5120,13824,128x5120x13824,18119393280.0,float16,10,30,1000,0.12344985580444336,0.12389406661987304,0.0010342104169572648,146.77532964236826,
NVIDIA A100-SXM4-80GB,triton,128,5120,13824,128x5120x13824,18119393280.0,float16,10,30,1000,0.1760573425292969,0.17957007598876953,0.009202220321363468,102.91756662738923,0.7011911802763957
NVIDIA A100-SXM4-80GB,torch,128,5120,13824,128x5120x13824,18119393280.0,bfloat16,10,30,1000,0.10901811218261719,0.10967439422607421,0.0015723318886748435,166.20534805856892,
NVIDIA A100-SXM4-80GB,triton,128,5120,13824,128x5120x13824,18119393280.0,bfloat16,10,30,1000,0.17479782867431642,0.17944534759521483,0.010302533073507805,103.65914392312092,0.6236811578806273
NVIDIA A100-SXM4-80GB,torch,256,11008,4096,256x11008x4096,23085449216.0,float16,10,30,1000,0.11798630523681641,0.11841556549072266,0.0008695835623223094,195.66210815453542,
NVIDIA A100-SXM4-80GB,triton,256,11008,4096,256x11008x4096,23085449216.0,float16,10,30,1000,0.1500252151489258,0.15038269958496092,0.0006752707991627483,153.8771278753623,0.786443166368365
NVIDIA A100-SXM4-80GB,torch,256,11008,4096,256x11008x4096,23085449216.0,bfloat16,10,30,1000,0.1114813461303711,0.11497400360107421,0.0047988514427208875,207.07903176019136,
NVIDIA A100-SXM4-80GB,triton,256,11008,4096,256x11008x4096,23085449216.0,bfloat16,10,30,1000,0.1447173080444336,0.14621808776855466,0.003192836747046168,159.5209966793461,0.7703387220009797
NVIDIA A100-SXM4-80GB,torch,256,4096,11008,256x4096x11008,23085449216.0,float16,10,30,1000,0.11908761596679687,0.1207834602355957,0.005558133324042554,193.85264394272963,
NVIDIA A100-SXM4-80GB,triton,256,4096,11008,256x4096x11008,23085449216.0,float16,10,30,1000,0.19245875549316405,0.19446005096435545,0.004214953751899222,119.95011168416275,0.6187695418773855
NVIDIA A100-SXM4-80GB,torch,256,4096,11008,256x4096x11008,23085449216.0,bfloat16,10,30,1000,0.11637964630126954,0.1185868782043457,0.0060174473048109625,198.36328730746598,
NVIDIA A100-SXM4-80GB,triton,256,4096,11008,256x4096x11008,23085449216.0,bfloat16,10,30,1000,0.19085619354248046,0.19233341064453124,0.003316351228848186,120.95729663004978,0.6097766288908301
NVIDIA A100-SXM4-80GB,torch,128,5120,20480,128x5120x20480,26843545600.0,float16,10,30,1000,0.1641707534790039,0.16474664764404298,0.0016746315344541966,163.50991288733454,
NVIDIA A100-SXM4-80GB,triton,128,5120,20480,128x5120x20480,26843545600.0,float16,10,30,1000,0.26151065063476564,0.26380861206054684,0.004998767629447022,102.64800127582788,0.6277784598084694
NVIDIA A100-SXM4-80GB,torch,128,5120,20480,128x5120x20480,26843545600.0,bfloat16,10,30,1000,0.1614039077758789,0.16317348480224608,0.005017914092600497,166.31286051186706,
NVIDIA A100-SXM4-80GB,triton,128,5120,20480,128x5120x20480,26843545600.0,bfloat16,10,30,1000,0.25708851623535156,0.25763727111816404,0.0007527630215448966,104.41363151135887,0.6278145369516301
NVIDIA A100-SXM4-80GB,torch,512,5120,5120,512x5120x5120,26843545600.0,float16,10,30,1000,0.19829811096191408,0.2030009338378906,0.009017666484633246,135.36964860525413,
NVIDIA A100-SXM4-80GB,triton,512,5120,5120,512x5120x5120,26843545600.0,float16,10,30,1000,0.1682877426147461,0.1683546142578125,0.0002022872000374093,159.50980851559567,1.178327713479819
NVIDIA A100-SXM4-80GB,torch,512,5120,5120,512x5120x5120,26843545600.0,bfloat16,10,30,1000,0.1355647964477539,0.1370004440307617,0.0033206207193749214,198.0126574404985,
NVIDIA A100-SXM4-80GB,triton,512,5120,5120,512x5120x5120,26843545600.0,bfloat16,10,30,1000,0.16565042877197267,0.16625305328369142,0.0005488494993986147,162.04935778917712,0.8183787838808835
NVIDIA A100-SXM4-80GB,torch,128,20480,5120,128x20480x5120,26843545600.0,float16,10,30,1000,0.153199104309082,0.15442451934814452,0.0016145816807528553,175.21999048925673,
NVIDIA A100-SXM4-80GB,triton,128,20480,5120,128x20480x5120,26843545600.0,float16,10,30,1000,0.1982622756958008,0.20149841918945313,0.0020736735550595693,135.39411623211058,0.7727093002006068
NVIDIA A100-SXM4-80GB,torch,128,20480,5120,128x20480x5120,26843545600.0,bfloat16,10,30,1000,0.15138201904296877,0.15226480407714843,0.0023267472634165994,177.32321031060263,
NVIDIA A100-SXM4-80GB,triton,128,20480,5120,128x20480x5120,26843545600.0,bfloat16,10,30,1000,0.1930403823852539,0.19485163421630858,0.0019283199506994928,139.05663296101378,0.7841987110285202
NVIDIA A100-SXM4-80GB,torch,256,16384,4096,256x16384x4096,34359738368.0,float16,10,30,1000,0.17764608001708984,0.18009190216064455,0.0031727728209028504,193.41681147534769,
NVIDIA A100-SXM4-80GB,triton,256,16384,4096,256x16384x4096,34359738368.0,float16,10,30,1000,0.22899250793457032,0.23104613952636718,0.0016786808374632037,150.0474346427856,0.7757724548256766
NVIDIA A100-SXM4-80GB,torch,256,16384,4096,256x16384x4096,34359738368.0,bfloat16,10,30,1000,0.21158758544921874,0.21496575927734374,0.00917138105887154,162.39014351929632,
NVIDIA A100-SXM4-80GB,triton,256,16384,4096,256x16384x4096,34359738368.0,bfloat16,10,30,1000,0.22047590637207032,0.22099271545410157,0.0007274826807751843,155.84350659166927,0.9596857494811617
NVIDIA A100-SXM4-80GB,torch,1024,4096,4096,1024x4096x4096,34359738368.0,float16,10,30,1000,0.20282777404785157,0.20579685974121092,0.003003115692920579,169.40351748816104,
NVIDIA A100-SXM4-80GB,triton,1024,4096,4096,1024x4096x4096,34359738368.0,float16,10,30,1000,0.21706905364990234,0.21748081054687501,0.0006145298775736596,158.28943734843367,0.9343928608772595
NVIDIA A100-SXM4-80GB,torch,1024,4096,4096,1024x4096x4096,34359738368.0,bfloat16,10,30,1000,0.20763187408447265,0.20979200439453125,0.006040751620781294,165.48392928352195,
NVIDIA A100-SXM4-80GB,triton,1024,4096,4096,1024x4096x4096,34359738368.0,bfloat16,10,30,1000,0.21097113800048828,0.21122867279052734,0.00044813976484349725,162.86463965474024,0.9841719395948468
NVIDIA A100-SXM4-80GB,torch,256,4096,16384,256x4096x16384,34359738368.0,float16,10,30,1000,0.1681223678588867,0.16938792724609375,0.0033194692363119026,204.3733906771989,
NVIDIA A100-SXM4-80GB,triton,256,4096,16384,256x4096x16384,34359738368.0,float16,10,30,1000,0.2810900573730469,0.28160623474121094,0.00032453849199698095,122.23747324651791,0.5981085543547496
NVIDIA A100-SXM4-80GB,torch,256,4096,16384,256x4096x16384,34359738368.0,bfloat16,10,30,1000,0.1639587860107422,0.16548126831054688,0.0031686230262385757,209.5632640616699,
NVIDIA A100-SXM4-80GB,triton,256,4096,16384,256x4096x16384,34359738368.0,bfloat16,10,30,1000,0.2798249053955078,0.280144482421875,0.0005739558777321022,122.79013663717868,0.5859334993037912
NVIDIA A100-SXM4-80GB,torch,256,8192,8192,256x8192x8192,34359738368.0,float16,10,30,1000,0.17301299285888672,0.17595411987304688,0.004660397399000646,198.59628921640916,
NVIDIA A100-SXM4-80GB,triton,256,8192,8192,256x8192x8192,34359738368.0,float16,10,30,1000,0.2544972763061524,0.2551338012695313,0.0008920374913691548,135.01024005721104,0.6798225716598925
NVIDIA A100-SXM4-80GB,torch,256,8192,8192,256x8192x8192,34359738368.0,bfloat16,10,30,1000,0.17071666717529296,0.17243258361816405,0.0026343201735429087,201.2676262752904,
NVIDIA A100-SXM4-80GB,triton,256,8192,8192,256x8192x8192,34359738368.0,bfloat16,10,30,1000,0.24938648986816406,0.25048238372802734,0.0007587661533505881,137.77706397072262,0.6845465737359743
NVIDIA A100-SXM4-80GB,torch,256,5120,13824,256x5120x13824,36238786560.0,float16,10,30,1000,0.18150810241699217,0.18636830444335936,0.005869438546620964,199.6538230384114,
NVIDIA A100-SXM4-80GB,triton,256,5120,13824,256x5120x13824,36238786560.0,float16,10,30,1000,0.24444620513916016,0.2453097457885742,0.0015520435421025156,148.24851357119542,0.7425277979409084
NVIDIA A100-SXM4-80GB,torch,256,5120,13824,256x5120x13824,36238786560.0,bfloat16,10,30,1000,0.1957898178100586,0.19906109466552735,0.00901479845485509,185.09025119557697,
NVIDIA A100-SXM4-80GB,triton,256,5120,13824,256x5120x13824,36238786560.0,bfloat16,10,30,1000,0.23853363037109376,0.23894835357666017,0.0009110318616168074,151.9231753762447,0.8208059278914367
NVIDIA A100-SXM4-80GB,torch,256,13824,5120,256x13824x5120,36238786560.0,float16,10,30,1000,0.1556505584716797,0.15733411102294922,0.002590605370180913,232.8214361440507,
NVIDIA A100-SXM4-80GB,triton,256,13824,5120,256x13824x5120,36238786560.0,float16,10,30,1000,0.195720703125,0.19664691772460938,0.0007955335148811048,185.15561195820734,0.795268747692323
NVIDIA A100-SXM4-80GB,torch,256,13824,5120,256x13824x5120,36238786560.0,bfloat16,10,30,1000,0.15201229095458985,0.15306219787597658,0.00187489437502873,238.39379258368982,
NVIDIA A100-SXM4-80GB,triton,256,13824,5120,256x13824x5120,36238786560.0,bfloat16,10,30,1000,0.1945902099609375,0.19574312591552734,0.0007183116001942148,186.23129379054916,0.7811918748898269
NVIDIA A100-SXM4-80GB,torch,512,4096,11008,512x4096x11008,46170898432.0,float16,10,30,1000,0.21482189178466798,0.2194567153930664,0.00432894417954559,214.92641205431957,
NVIDIA A100-SXM4-80GB,triton,512,4096,11008,512x4096x11008,46170898432.0,float16,10,30,1000,0.34861978149414063,0.3494128692626953,0.0008735297825591594,132.43912389055296,0.6162068338863856
NVIDIA A100-SXM4-80GB,torch,512,4096,11008,512x4096x11008,46170898432.0,bfloat16,10,30,1000,0.21813607025146486,0.22106051025390624,0.005589255008298457,211.66099847115927,
NVIDIA A100-SXM4-80GB,triton,512,4096,11008,512x4096x11008,46170898432.0,bfloat16,10,30,1000,0.32622488403320316,0.3272657989501953,0.000825214847105254,141.53089078054734,0.6686677838753189
NVIDIA A100-SXM4-80GB,torch,512,11008,4096,512x11008x4096,46170898432.0,float16,10,30,1000,0.23049062347412108,0.23428321685791015,0.005298613323957631,200.31573404626567,
NVIDIA A100-SXM4-80GB,triton,512,11008,4096,512x11008x4096,46170898432.0,float16,10,30,1000,0.28583526611328125,0.2867417205810547,0.0008628583411125673,161.5297477453384,0.8063757373548645
NVIDIA A100-SXM4-80GB,torch,512,11008,4096,512x11008x4096,46170898432.0,bfloat16,10,30,1000,0.218102783203125,0.22319011993408203,0.010134745206933004,211.69330236835995,
NVIDIA A100-SXM4-80GB,triton,512,11008,4096,512x11008x4096,46170898432.0,bfloat16,10,30,1000,0.2801059875488281,0.2811993072509766,0.0011814473791980718,164.8336718398477,0.7786437737790426
NVIDIA A100-SXM4-80GB,torch,256,5120,20480,256x5120x20480,53687091200.0,float16,10,30,400,0.248787202835083,0.25259239006042483,0.0064803437898650965,215.79522816367813,
NVIDIA A100-SXM4-80GB,triton,256,5120,20480,256x5120x20480,53687091200.0,float16,10,30,400,0.36506879806518555,0.3666017379760742,0.0014998356720310223,147.06020203461432,0.6814803241296461
NVIDIA A100-SXM4-80GB,torch,256,5120,20480,256x5120x20480,53687091200.0,bfloat16,10,30,400,0.24337535858154297,0.24706227874755857,0.008447698094791654,220.59378366364945,
NVIDIA A100-SXM4-80GB,triton,256,5120,20480,256x5120x20480,53687091200.0,bfloat16,10,30,400,0.35710975646972654,0.357749755859375,0.0006295245406127649,150.33778894963137,0.6815141680459094
NVIDIA A100-SXM4-80GB,torch,1024,5120,5120,1024x5120x5120,53687091200.0,float16,10,30,400,0.23787775993347168,0.2392527389526367,0.0031058503355555836,225.69193191921306,
NVIDIA A100-SXM4-80GB,triton,1024,5120,5120,1024x5120x5120,53687091200.0,float16,10,30,400,0.28960384368896486,0.2928092174530029,0.006319235167394532,185.38114175604676,0.8213902029178621
NVIDIA A100-SXM4-80GB,torch,1024,5120,5120,1024x5120x5120,53687091200.0,bfloat16,10,30,400,0.26726272583007815,0.27711949539184566,0.012721926534993041,200.87758602796518,
NVIDIA A100-SXM4-80GB,triton,1024,5120,5120,1024x5120x5120,53687091200.0,bfloat16,10,30,400,0.273372163772583,0.27931392288208007,0.011474994833545337,196.38828788969911,0.977651572646631
NVIDIA A100-SXM4-80GB,torch,256,20480,5120,256x20480x5120,53687091200.0,float16,10,30,400,0.24890623092651368,0.25141247749328616,0.002979472695786719,215.6920339043277,
NVIDIA A100-SXM4-80GB,triton,256,20480,5120,256x20480x5120,53687091200.0,float16,10,30,400,0.2996710395812988,0.300148229598999,0.0009200916860525719,179.1534186119945,0.8305982162116371
NVIDIA A100-SXM4-80GB,torch,256,20480,5120,256x20480x5120,53687091200.0,bfloat16,10,30,400,0.2775718402862549,0.28422426414489743,0.00973233034259609,193.41692278522726,
NVIDIA A100-SXM4-80GB,triton,256,20480,5120,256x20480x5120,53687091200.0,bfloat16,10,30,400,0.28556672096252445,0.2898854331970215,0.008142775479941482,188.00191779715635,0.9720034580733982
NVIDIA A100-SXM4-80GB,torch,128,8192,28672,128x8192x28672,60129542144.0,float16,10,30,400,0.3126182460784912,0.31376000404357907,0.0013162818139732923,192.34175515431326,
NVIDIA A100-SXM4-80GB,triton,128,8192,28672,128x8192x28672,60129542144.0,float16,10,30,400,0.49307392120361326,0.49642084884643556,0.0018317665293026775,121.9483317982451,0.6340190235885473
NVIDIA A100-SXM4-80GB,torch,128,8192,28672,128x8192x28672,60129542144.0,bfloat16,10,30,400,0.31110655784606933,0.3118080043792725,0.0011408354352831934,193.27635701511366,
NVIDIA A100-SXM4-80GB,triton,128,8192,28672,128x8192x28672,60129542144.0,bfloat16,10,30,400,0.4873164939880371,0.48792985534667965,0.00045369958028493074,123.38909699509594,0.6384076091906434
NVIDIA A100-SXM4-80GB,torch,128,28672,8192,128x28672x8192,60129542144.0,float16,10,30,400,0.40316545486450195,0.4049295272827148,0.0032866615968912822,149.14358712655246,
NVIDIA A100-SXM4-80GB,triton,128,28672,8192,128x28672x8192,60129542144.0,float16,10,30,400,0.4501247978210449,0.4574945411682129,0.0050952931956696965,133.5841580714368,0.8956748368810987
NVIDIA A100-SXM4-80GB,torch,128,28672,8192,128x28672x8192,60129542144.0,bfloat16,10,30,400,0.4752947235107422,0.47977319717407224,0.008294607481610422,126.51001403898606,
NVIDIA A100-SXM4-80GB,triton,128,28672,8192,128x28672x8192,60129542144.0,bfloat16,10,30,400,0.43312255859375,0.43424664688110354,0.0010597071714373032,138.82800826451268,1.0973677405626612
NVIDIA A100-SXM4-80GB,torch,512,16384,4096,512x16384x4096,68719476736.0,float16,10,30,400,0.30087296485900883,0.30477106475830074,0.004301169522869681,228.4003043218005,
NVIDIA A100-SXM4-80GB,triton,512,16384,4096,512x16384x4096,68719476736.0,float16,10,30,400,0.3803251075744629,0.38285542678833007,0.003813876408911335,180.68614290090113,0.7910941425293665
NVIDIA A100-SXM4-80GB,torch,512,16384,4096,512x16384x4096,68719476736.0,bfloat16,10,30,400,0.3295270347595215,0.3302922248840332,0.003062048304578212,208.53972356516763,
NVIDIA A100-SXM4-80GB,triton,512,16384,4096,512x16384x4096,68719476736.0,bfloat16,10,30,400,0.3623859214782715,0.3657804870605469,0.0023260501058856658,189.63064695138934,0.9093262602898325
NVIDIA A100-SXM4-80GB,torch,2048,4096,4096,2048x4096x4096,68719476736.0,float16,10,30,400,0.29429375648498535,0.29801856613159183,0.004919924578136677,233.50640379455697,
NVIDIA A100-SXM4-80GB,triton,2048,4096,4096,2048x4096x4096,68719476736.0,float16,10,30,400,0.3743782424926758,0.3752368659973145,0.0018022435539585728,183.55627794621213,0.7860866981091797
NVIDIA A100-SXM4-80GB,torch,2048,4096,4096,2048x4096x4096,68719476736.0,bfloat16,10,30,400,0.3236492919921875,0.3291031036376953,0.015110840043646928,212.32697996341918,
NVIDIA A100-SXM4-80GB,triton,2048,4096,4096,2048x4096x4096,68719476736.0,bfloat16,10,30,400,0.3563327980041504,0.36190746307373045,0.013805978003622486,192.85195502884804,0.9082781428063149
NVIDIA A100-SXM4-80GB,torch,128,8192,32768,128x8192x32768,68719476736.0,float16,10,30,400,0.35211647033691407,0.3531906509399414,0.0006727149107978563,195.16121092048732,
NVIDIA A100-SXM4-80GB,triton,128,8192,32768,128x8192x32768,68719476736.0,float16,10,30,400,0.5630771255493164,0.5645399169921875,0.002003423716766127,122.04274266861741,0.6253432333863727
NVIDIA A100-SXM4-80GB,torch,128,8192,32768,128x8192x32768,68719476736.0,bfloat16,10,30,400,0.3507481575012207,0.3520985641479492,0.001570399160764693,195.9225594385648,
NVIDIA A100-SXM4-80GB,triton,128,8192,32768,128x8192x32768,68719476736.0,bfloat16,10,30,400,0.5552102470397948,0.5570380706787109,0.004320357667106015,123.77198926423004,0.6317393444578856
NVIDIA A100-SXM4-80GB,torch,128,32768,8192,128x32768x8192,68719476736.0,float16,10,30,400,0.4103078460693359,0.4111331787109375,0.0011189118394807354,167.48272643167402,
NVIDIA A100-SXM4-80GB,triton,128,32768,8192,128x32768x8192,68719476736.0,float16,10,30,400,0.4434598350524902,0.45293619537353513,0.005004850839737911,154.9621212659902,0.9252424089788645
NVIDIA A100-SXM4-80GB,torch,128,32768,8192,128x32768x8192,68719476736.0,bfloat16,10,30,400,0.47634048461914064,0.4782287216186524,0.0045837884790659415,144.26545497375653,
NVIDIA A100-SXM4-80GB,triton,128,32768,8192,128x32768x8192,68719476736.0,bfloat16,10,30,400,0.46820735931396484,0.46978507995605473,0.0019248648274655976,146.77145792131586,1.017370776309652
NVIDIA A100-SXM4-80GB,torch,512,4096,16384,512x4096x16384,68719476736.0,float16,10,30,400,0.30426495552062993,0.3070520362854004,0.002507689005641524,225.8540639963403,
NVIDIA A100-SXM4-80GB,triton,512,4096,16384,512x4096x16384,68719476736.0,float16,10,30,400,0.5018918418884277,0.5045386238098145,0.0059983739752812616,136.9208881288741,0.6062361053245992
NVIDIA A100-SXM4-80GB,torch,512,4096,16384,512x4096x16384,68719476736.0,bfloat16,10,30,400,0.30587135314941405,0.30999578285217283,0.002693236513188197,224.6679070414007,
NVIDIA A100-SXM4-80GB,triton,512,4096,16384,512x4096x16384,68719476736.0,bfloat16,10,30,400,0.47721471786499026,0.4827873306274414,0.004725024090548283,144.00116795107218,0.640951214828099
NVIDIA A100-SXM4-80GB,torch,512,8192,8192,512x8192x8192,68719476736.0,float16,10,30,400,0.4019955253601074,0.4109475708007812,0.017358269383977987,170.9458747692306,
NVIDIA A100-SXM4-80GB,triton,512,8192,8192,512x8192x8192,68719476736.0,float16,10,30,400,0.4233676910400391,0.42762291717529294,0.0037870581089447194,162.3162990241053,0.94951866632187
NVIDIA A100-SXM4-80GB,torch,512,8192,8192,512x8192x8192,68719476736.0,bfloat16,10,30,400,0.340947208404541,0.34520421600341794,0.010223544706305241,201.55459567354166,
